,cov,sleep
0,0.723049521446228,0.65
1,0.7627362608909607,0.6366666666666667
2,0.7766163349151611,0.64
3,0.7971451878547668,0.6366666666666667
4,0.7701218128204346,0.6466666666666666
5,0.7388316988945007,0.6633333333333333
6,0.7509638667106628,0.6666666666666666
7,0.744949221611023,0.65
8,0.777336061000824,0.6533333333333333
9,0.7247288227081299,0.6633333333333333
10,0.7484963536262512,0.66
11,0.7634730935096741,0.6533333333333333
12,0.7417790293693542,0.6533333333333333
13,0.8363178372383118,0.6
14,0.7558647394180298,0.66
15,0.7457031607627869,0.6633333333333333
16,0.7710814476013184,0.63
17,0.788902759552002,0.6266666666666667
18,0.7271963953971863,0.66
19,0.680895209312439,0.6866666666666666
20,0.7537227869033813,0.66
21,0.7899309396743774,0.63
22,0.7236149907112122,0.6733333333333333
23,0.7836249470710754,0.66
24,0.7554706335067749,0.6466666666666666
25,0.7497814893722534,0.66
26,0.8214267492294312,0.63
27,0.7698990702629089,0.64
28,0.8020631670951843,0.6333333333333333
29,0.8237572312355042,0.62
30,0.7731034755706787,0.64
31,0.7939236164093018,0.63
32,0.7802320122718811,0.6466666666666666
33,0.8122761845588684,0.6233333333333333
34,0.821700930595398,0.61
35,0.763113260269165,0.6366666666666667
36,0.7458916902542114,0.6433333333333333
37,0.7315831780433655,0.6633333333333333
38,0.7862809896469116,0.6333333333333333
39,0.7642613649368286,0.6433333333333333
40,0.7735490202903748,0.6366666666666667
41,0.7893311977386475,0.6266666666666667
42,0.7482050061225891,0.6466666666666666
43,0.7687680721282959,0.65
44,0.7654608488082886,0.6220735785953178
45,0.8055017590522766,0.6241610738255033
46,0.8190761804580688,0.6006711409395973
47,0.74977707862854,0.6498316498316499
48,0.7483288645744324,0.6587837837837838
49,0.7847427129745483,0.6258503401360545
50,0.7546007037162781,0.6310344827586207
51,0.8549535274505615,0.5868055555555556
52,0.8322792649269104,0.5880281690140845
53,0.7749720811843872,0.6183745583038869
54,0.7290863990783691,0.6415770609318996
55,0.8050227165222168,0.6064981949458483
56,0.7479569911956787,0.6410256410256411
57,0.8474915623664856,0.6015037593984962
58,0.8314623832702637,0.5687022900763359
59,0.8263450860977173,0.576
60,0.848432719707489,0.5847457627118644
61,0.7759084105491638,0.6272727272727273
62,0.7275370359420776,0.6602870813397129
63,0.7689275145530701,0.6354166666666666
64,0.6402493119239807,0.6815642458100558
65,0.7253735065460205,0.6646706586826348
66,0.7243863940238953,0.6129032258064516
67,0.7213960886001587,0.6496350364963503
68,0.7457858324050903,0.6190476190476191
69,0.672832190990448,0.6697247706422018
70,0.7297308444976807,0.6354166666666666
71,0.738890528678894,0.6172839506172839
72,0.5823428630828857,0.7391304347826086
73,0.7731971740722656,0.6190476190476191
74,0.7146886587142944,0.660377358490566
75,0.6602427363395691,0.7111111111111111
76,0.6374679207801819,0.7027027027027027
77,0.576788067817688,0.75
78,0.7291666865348816,0.6296296296296297
79,0.5913098454475403,0.7142857142857143
80,0.619884192943573,0.7368421052631579
81,0.4187139570713043,0.8235294117647058
82,0.30144989490509033,0.8666666666666667
83,0.5671932697296143,0.7333333333333333
84,0.4660954773426056,0.7692307692307693
85,0.5180055499076843,0.75
86,0.19216884672641754,0.8888888888888888
87,0.38349649310112,0.75
88,0.23687797784805298,0.8571428571428571
89,0.5093991756439209,0.6666666666666666
90,0.34511953592300415,0.75
91,0.6912350654602051,0.5
92,0.0,1.0
93,0.0,1.0
